SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
埔里,南投縣,73,細懸浮微粒,普通,2.9,0.31,0.4,59,29,34,27,8.4,9,0.6,1.4,298,2020-04-19 12:00,25,34,3,120.967903,23.968842,72
復興,高雄市,41,,良好,1.9,0.27,0.4,23,17,25,11,6,9.4,3.3,1.8,202,2020-04-19 12:00,13,24,3,120.312017,22.608711,71
永和,新北市,79,細懸浮微粒,普通,2.2,1.44,0.9,30,17,49,37,34,48,14,1.1,268,2020-04-19 12:00,27,35,2,121.516306,25.017,70
竹山,南投縣,78,細懸浮微粒,普通,2.1,0.29,0.4,47,28,28,16,5.9,6.8,0.9,1.7,250,2020-04-19 12:00,26,42,3,120.677306,23.756389,69
中壢,桃園市,84,細懸浮微粒,普通,1.7,0.94,1.0,22,15,51,29,22,42,20,1.6,32,2020-04-19 12:00,29,46,2,121.221667,24.953278,68
三重,新北市,95,細懸浮微粒,普通,3.1,1.38,1.4,-,,61,36,37,77,40,,,2020-04-19 12:00,33,49,2,121.493806,25.072611,67
冬山,宜蘭縣,64,細懸浮微粒,普通,2.4,0.39,0.3,31,20,38,22,8.1,12,3.6,1.4,1,2020-04-19 12:00,21,38,2,121.792928,24.632203,66
宜蘭,宜蘭縣,66,細懸浮微粒,普通,2.7,0.41,0.3,46,30,41,25,8.5,9.8,1.3,1.6,52,2020-04-19 12:00,21,34,2,121.746394,24.747917,65
陽明,臺北市,61,細懸浮微粒,普通,2.6,0.25,0.2,37,36,31,20,2.9,4.2,1.3,,,2020-04-19 12:00,19,27,2,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,1.4,0.21,0.2,26,17,30,7,1.9,3.9,1.9,2.4,126,2020-04-19 12:00,11,23,1,121.599769,23.971306,63
臺東,臺東縣,26,,良好,1.5,0.33,0.4,24,16,24,8,3.1,4.9,1.9,3.5,183,2020-04-19 12:00,8,23,1,121.15045,22.755358,62
恆春,屏東縣,31,,良好,1.1,0.14,0.1,26,25,19,9,0.4,1.3,1,4.3,197,2020-04-19 12:00,10,20,1,120.788928,21.958069,61
潮州,屏東縣,27,,良好,0.7,0.19,0.2,28,23,19,10,3.4,4.1,0.7,3.2,225,2020-04-19 12:00,8,21,1,120.561175,22.523108,60
屏東,屏東縣,31,,良好,1.9,0.27,0.3,32,23,26,6,4.3,5.4,1.1,3.4,182,2020-04-19 12:00,10,27,2,120.488033,22.673081,59
小港,高雄市,39,,良好,2.1,0.19,0.3,22,16,30,11,6.9,13,5.9,2,194,2020-04-19 12:00,12,31,4,120.337736,22.565833,58
前鎮,高雄市,32,,良好,,0.41,0.4,20,15,28,8,6.9,14,6.8,1.9,145,2020-04-19 12:00,10,29,,120.307564,22.605386,57
前金,高雄市,45,,良好,2.9,0.21,0.3,24,18,28,10,5.7,10,4.7,3.1,206,2020-04-19 12:00,14,29,3,120.288086,22.632567,56
左營,高雄市,38,,良好,2.4,0.29,0.4,24,17,24,11,7.9,11,3.3,3,210,2020-04-19 12:00,12,26,3,120.292917,22.674861,54
楠梓,高雄市,41,,良好,5.4,0.47,0.4,31,18,30,15,9.1,13,3.6,3.5,202,2020-04-19 12:00,13,28,3,120.328289,22.733667,53
林園,高雄市,32,,良好,2.5,0.18,0.2,29,18,25,8,3.1,3.9,0.8,2.4,187,2020-04-19 12:00,10,32,2,120.41175,22.4795,52
大寮,高雄市,41,,良好,0.1,0.14,0.3,24,15,17,9,1.7,2,0.3,3.2,184,2020-04-19 12:00,13,27,1,120.425081,22.565747,51
鳳山,高雄市,39,,良好,4,0.49,0.4,27,17,27,12,6.9,9.5,2.6,2.1,173,2020-04-19 12:00,12,27,4,120.358083,22.627392,50
仁武,高雄市,45,,良好,5,0.47,0.3,31,21,28,13,9,12,2.8,3,187,2020-04-19 12:00,14,27,3,120.332631,22.689056,49
橋頭,高雄市,46,,良好,3.9,0.44,0.3,33,20,27,20,10,11,1,3.9,206,2020-04-19 12:00,14,27,2,120.305689,22.757506,48
美濃,高雄市,46,,良好,1.8,0.22,0.2,40,22,30,14,4.9,5.1,0.2,1.9,200,2020-04-19 12:00,14,24,2,120.530542,22.883583,47
臺南,臺南市,45,,良好,1.5,0.3,0.3,30,19,37,12,11,14,2.2,2.8,197,2020-04-19 12:00,14,30,1,120.202617,22.984581,46
安南,臺南市,52,細懸浮微粒,普通,3,0.39,0.3,40,24,39,16,10,12,1.5,3,195,2020-04-19 12:00,16,34,2,120.2175,23.048197,45
善化,臺南市,19,,良好,2.3,0.26,0.3,36,20,,,6.3,8.1,1.7,,,2020-04-19 12:00,,,3,120.297142,23.115097,44
新營,臺南市,53,細懸浮微粒,普通,1.5,0.26,0.3,36,23,27,11,7.1,8.6,1.5,3.4,208,2020-04-19 12:00,16,29,2,120.31725,23.305633,43
嘉義,嘉義市,53,細懸浮微粒,普通,1.6,0.22,0.3,31,21,24,10,4.5,5.1,0.6,4.7,238,2020-04-19 12:00,16,29,2,120.440833,23.462778,42
臺西,雲林縣,78,細懸浮微粒,普通,2.1,0.32,0.4,43,22,42,17,5,5.7,0.6,5.7,213,2020-04-19 12:00,27,52,2,120.202842,23.717533,41
朴子,嘉義縣,67,細懸浮微粒,普通,1.8,0.31,0.4,32,18,38,14,2.1,5.4,3.3,2.4,209,2020-04-19 12:00,22,50,2,120.24781,23.467123,40
新港,嘉義縣,61,細懸浮微粒,普通,1.5,0.3,0.4,31,20,38,11,6.3,8.3,2,4.5,198,2020-04-19 12:00,20,45,2,120.345531,23.554839,39
崙背,雲林縣,73,細懸浮微粒,普通,2,0.16,0.3,33,21,39,14,4.2,5.4,1.2,2.6,235,2020-04-19 12:00,25,52,2,120.348742,23.757547,38
斗六,雲林縣,59,細懸浮微粒,普通,1.9,0.31,0.3,36,29,31,12,7.3,8.4,1.1,3.9,231,2020-04-19 12:00,19,37,2,120.544994,23.711853,37
南投,南投縣,73,細懸浮微粒,普通,1.8,0.32,0.4,48,26,30,18,7.1,7.8,0.8,1.8,241,2020-04-19 12:00,25,37,3,120.685306,23.913,36
二林,彰化縣,79,細懸浮微粒,普通,1.1,0.2,0.4,26,16,43,10,0.5,2.2,1.7,5.7,246,2020-04-19 12:00,27,55,3,120.409653,23.925175,35
線西,彰化縣,75,細懸浮微粒,普通,2.6,0.28,0.4,41,29,46,14,4.1,6.1,2,7.1,249,2020-04-19 12:00,25,48,3,120.469061,24.131672,34
彰化,彰化縣,61,細懸浮微粒,普通,2.4,0.24,0.4,27,24,31,13,,,,2.8,229,2020-04-19 12:00,20,34,5,120.541519,24.066,33
西屯,臺中市,67,細懸浮微粒,普通,2,0.25,0.4,41,26,31,20,6.4,6.7,0.2,4.4,210,2020-04-19 12:00,22,37,3,120.616917,24.162197,32
忠明,臺中市,66,細懸浮微粒,普通,2.3,0.3,0.4,34,24,29,16,7.4,8.7,1.3,2.3,200,2020-04-19 12:00,22,34,3,120.641092,24.151958,31
大里,臺中市,70,細懸浮微粒,普通,2.5,0.38,0.4,39,23,37,22,9.1,10,1.1,3.2,261,2020-04-19 12:00,23,38,3,120.677689,24.099611,30
沙鹿,臺中市,66,細懸浮微粒,普通,1.9,0.31,0.4,38,28,37,20,7.3,8.7,1.4,3.6,247,2020-04-19 12:00,22,35,1,120.568794,24.225628,29
豐原,臺中市,55,細懸浮微粒,普通,-0.3,0.29,0.3,45,30,29,14,6.3,7.8,1.6,4.3,217,2020-04-19 12:00,17,27,1,120.741711,24.256586,28
三義,苗栗縣,53,細懸浮微粒,普通,2.6,0.24,0.2,37,30,27,14,5.8,7.8,2,4.1,220,2020-04-19 12:00,16,28,2,120.758833,24.382942,27
苗栗,苗栗縣,60,細懸浮微粒,普通,2.6,0.4,0.3,31,18,47,29,7.8,9.4,1.6,3.5,260,2020-04-19 12:00,19,30,3,120.8202,24.565269,26
頭份,苗栗縣,87,細懸浮微粒,普通,3.3,0.4,0.4,42,19,63,39,7.9,9.9,2,6,273,2020-04-19 12:00,30,50,3,120.898572,24.696969,25
新竹,新竹市,86,細懸浮微粒,普通,2.7,0.42,0.5,38,19,55,35,11,14,3.1,2.4,271,2020-04-19 12:00,30,46,2,120.972075,24.805619,24
竹東,新竹縣,83,細懸浮微粒,普通,2.1,0.38,0.4,35,24,52,32,,,,2.9,340,2020-04-19 12:00,29,42,1,121.088903,24.740644,23
湖口,新竹縣,86,細懸浮微粒,普通,2.3,0.29,0.3,40,24,48,35,9.3,11,2.1,2.7,261,2020-04-19 12:00,30,45,3,121.038653,24.900142,22
龍潭,桃園市,84,細懸浮微粒,普通,2.6,0.53,0.5,35,28,51,30,11,14,3.1,2.7,255,2020-04-19 12:00,29,45,3,121.21635,24.863869,21
平鎮,桃園市,85,細懸浮微粒,普通,2.5,0.4,0.5,27,23,57,34,18,24,5.8,2.1,266,2020-04-19 12:00,29,48,2,121.203986,24.952786,20
觀音,桃園市,84,細懸浮微粒,普通,2.9,0.3,0.3,37,28,48,36,12,13,1.5,2,261,2020-04-19 12:00,29,43,4,121.082761,25.035503,19
大園,桃園市,91,細懸浮微粒,普通,6.2,0.38,0.4,34,21,37,33,,,,2,286,2020-04-19 12:00,32,49,4,121.201811,25.060344,18
桃園,桃園市,95,細懸浮微粒,普通,2.9,0.43,0.6,26,14,52,33,15,17,1.7,1.8,275,2020-04-19 12:00,33,48,4,121.304383,24.995368,17
大同,臺北市,89,細懸浮微粒,普通,2.6,1.62,1.4,-,,60,39,39,59,20,,,2020-04-19 12:00,31,48,3,121.513311,25.0632,16
松山,臺北市,77,細懸浮微粒,普通,2.4,0.96,0.6,30,16,56,32,37,48,11,1.7,293,2020-04-19 12:00,26,43,1,121.578611,25.05,15
古亭,臺北市,80,細懸浮微粒,普通,1.7,0.9,0.5,40,22,52,35,26,31,4.7,1.5,252,2020-04-19 12:00,27,41,2,121.529556,25.020608,14
萬華,臺北市,79,細懸浮微粒,普通,2.6,1.04,0.6,32,16,57,36,34,41,7.4,0.9,280,2020-04-19 12:00,27,44,1,121.507972,25.046503,13
中山,臺北市,81,細懸浮微粒,普通,4,1.15,0.8,30,16,65,34,35,46,11,1.9,16,2020-04-19 12:00,28,44,1,121.526528,25.062361,12
士林,臺北市,83,細懸浮微粒,普通,4.1,0.6,0.6,33,16,58,30,17,24,6.4,3.4,293,2020-04-19 12:00,29,48,3,121.515389,25.105417,11
淡水,新北市,75,細懸浮微粒,普通,3.1,0.38,0.6,31,14,39,33,15,17,2.2,,,2020-04-19 12:00,25,36,2,121.449239,25.1645,10
林口,新北市,84,細懸浮微粒,普通,3.8,0.38,0.4,36,27,54,33,13,16,2.9,3.4,258,2020-04-19 12:00,29,45,2,121.376869,25.077197,9
菜寮,新北市,83,細懸浮微粒,普通,2.8,0.7,0.8,24,12,61,35,24,32,7.7,2.2,325,2020-04-19 12:00,29,45,2,121.481028,25.06895,8
新莊,新北市,83,細懸浮微粒,普通,2.7,0.68,0.7,47,20,45,32,18,20,2.2,1.8,265,2020-04-19 12:00,29,43,2,121.4325,25.037972,7
板橋,新北市,76,細懸浮微粒,普通,2.2,0.7,0.6,40,16,44,30,16,19,2.8,1.8,260,2020-04-19 12:00,26,39,3,121.458667,25.012972,6
土城,新北市,87,細懸浮微粒,普通,2.5,0.54,0.6,40,16,45,30,15,19,3.8,1.4,178,2020-04-19 12:00,30,43,2,121.451861,24.982528,5
新店,新北市,73,細懸浮微粒,普通,1.8,0.48,0.5,39,22,40,24,12,15,3.3,1.5,349,2020-04-19 12:00,24,33,2,121.537778,24.977222,4
萬里,新北市,68,細懸浮微粒,普通,3.6,0.46,0.3,29,25,43,24,11,15,4.3,2.3,61,2020-04-19 12:00,23,36,2,121.689881,25.179667,3
汐止,新北市,77,細懸浮微粒,普通,2.6,0.85,0.7,23,10,51,34,29,41,12,0.9,189,2020-04-19 12:00,26,47,3,121.6423,25.067131,2
基隆,基隆市,70,細懸浮微粒,普通,3.1,0.45,0.5,22,18,43,22,19,27,8.4,1,41,2020-04-19 12:00,23,36,1,121.760056,25.129167,1
