SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WIND_SPEED,WIND_DIREC,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
西屯,臺中市,28,,良好,0.8,0.1,0.1,24.9,18.5,11,5,4.1,5.6,1.4,3.7,208,2022/05/30 13:00:00,8,21,1,120.616917,24.162197,32
彰化,彰化縣,18,,良好,0.8,0.07,0.1,23.2,19.7,8,4,6.6,18.5,11.9,2.7,206,2022/05/30 13:00:00,5,16,1,120.541519,24.066,33
線西,彰化縣,24,,良好,1.7,0.09,0.1,25.8,16.7,13,5,1.8,3,1.1,5.4,247,2022/05/30 13:00:00,7,15,1,120.469061,24.131672,34
二林,彰化縣,27,,良好,0.5,0.09,0.1,23.6,17.1,9,3,1.1,1,0,3.2,253,2022/05/30 13:00:00,8,16,0,120.409653,23.925175,35
南投,南投縣,24,,良好,1.4,0.09,0.1,27.4,19.6,10,4,2.9,3.9,0.9,3.8,247,2022/05/30 13:00:00,7,18,1,120.685306,23.913,36
斗六,雲林縣,22,,良好,,0.18,0.1,20.3,19,,1,5,7.3,2.3,2.5,220,2022/05/30 13:00:00,6,15,1,120.544994,23.711853,37
崙背,雲林縣,14,,良好,0.9,0.08,0.1,22,15.8,0,,0.3,0.9,0.6,2.3,240,2022/05/30 13:00:00,1,10,1,120.348742,23.757547,38
新港,嘉義縣,17,,良好,2.1,0.05,0,19.1,15.9,,4,5.5,8.6,3,2.1,227,2022/05/30 13:00:00,5,10,1,120.345531,23.554839,39
朴子,嘉義縣,15,,良好,0.3,0.15,0.1,27,16.7,10,2,5.1,13.2,8,1.6,231,2022/05/30 13:00:00,4,12,0,120.24781111,23.46712222,40
臺西,雲林縣,18,,良好,0.8,0.21,0.2,26.8,19.6,8,0,1.4,2.5,1.1,3.2,225,2022/05/30 13:00:00,3,13,0,120.19933333,23.702175,41
嘉義,嘉義市,19,,良好,,,0.1,36.9,19.4,9,0,,,,2.9,251,2022/05/30 13:00:00,5,12,1,120.44083333,23.462778,42
新營,臺南市,18,,良好,0.7,0.18,0.2,40.2,18.7,15,7,5.9,8.4,2.5,1.3,284,2022/05/30 13:00:00,4,18,0,120.31725,23.305633,43
善化,臺南市,19,,良好,1,0.12,0.1,36.5,19.1,13,9,7.3,8.3,1,1.5,245,2022/05/30 13:00:00,5,11,0,120.297142,23.115097,44
安南,臺南市,19,,良好,2.6,0.12,0.2,20.5,14.6,4,0,,,,3.3,266,2022/05/30 13:00:00,5,12,1,120.2175,23.048197,45
臺南,臺南市,19,,良好,0.5,0.08,0.1,25.1,16.5,8,4,2.6,3.9,1.3,3,271,2022/05/30 13:00:00,5,14,0,120.202617,22.984581,46
美濃,高雄市,21,,良好,0.8,0.15,0.1,44.1,23.9,14,2,2.7,3.4,0.7,1.2,306,2022/05/30 13:00:00,5,17,0,120.530542,22.883583,47
橋頭,高雄市,19,,良好,1.1,0.09,0.1,27.8,17.9,9,1,3.3,5.6,2.2,3.5,263,2022/05/30 13:00:00,6,14,1,120.305689,22.757506,48
仁武,高雄市,20,,良好,0,0.09,0.1,25.8,16.3,8,2,4.2,5.6,1.4,3.3,278,2022/05/30 13:00:00,6,12,0,120.332631,22.689056,49
鳳山,高雄市,15,,良好,1.4,0.34,0.3,26.4,16.7,8,0,7,10.1,3.1,1.2,258,2022/05/30 13:00:00,2,14,3,120.358083,22.627392,50
大寮,高雄市,23,,良好,1,0.11,0.1,25.4,17.9,10,6,6.6,9.6,3,2,267,2022/05/30 13:00:00,7,18,0,120.425311,22.56413611,51
林園,高雄市,19,,良好,0.7,0.08,0.1,25.9,20.6,11,0,2.4,3.7,1.3,2.5,276,2022/05/30 13:00:00,1,13,0,120.41175,22.4795,52
楠梓,高雄市,17,,良好,1.6,0.09,0.1,29.5,18.5,6,2,3.4,4.5,1.1,2.3,272,2022/05/30 13:00:00,4,10,2,120.328289,22.733667,53
左營,高雄市,19,,良好,1.1,0.08,0.1,28.4,21.3,7,5,0.6,1.2,0.5,4,286,2022/05/30 13:00:00,4,9,1,120.292917,22.674861,54
前金,高雄市,18,,良好,0.4,0.09,0.1,25.8,19.9,5,0,,,,3.1,250,2022/05/30 13:00:00,2,7,0,120.28676111,22.63390278,56
前鎮,高雄市,18,,良好,0.8,0.12,0.2,26.5,19.2,10,5,4.7,6.6,1.9,2.1,352,2022/05/30 13:00:00,5,15,1,120.307564,22.605386,57
小港,高雄市,18,,良好,1.1,0.09,0,21.7,17.3,10,2,5.6,8.6,3,3.1,274,2022/05/30 13:00:00,5,13,2,120.337736,22.565833,58
屏東,屏東縣,20,,良好,1.2,0.14,0.1,46.3,22,15,5,5.1,6.6,1.5,2.2,324,2022/05/30 13:00:00,3,15,1,120.488033,22.673081,59
潮州,屏東縣,21,,良好,2.4,0.19,0.1,40.3,23.3,12,1,4.3,4.9,0.6,2,282,2022/05/30 13:00:00,3,8,1,120.561175,22.523108,60
恆春,屏東縣,21,,良好,1,0.08,0,24.9,23.5,6,3,0.2,1.1,0.8,4,304,2022/05/30 13:00:00,1,7,0,120.788928,21.958069,61
臺東,臺東縣,22,,良好,1.4,0.16,0.1,22,17.6,30,0,3.8,6.1,2.3,2.7,188,2022/05/30 13:00:00,2,22,0,121.15045,22.755358,62
花蓮,花蓮縣,19,,良好,0.2,0.12,0.1,28,20.3,19,2,3,4.7,1.6,3.9,100,2022/05/30 13:00:00,4,14,0,121.599769,23.971306,63
陽明,臺北市,24,,良好,0.8,0.15,0.1,33.9,25,20,13,2.6,3.1,0.4,2.1,60,2022/05/30 13:00:00,7,12,1,121.529583,25.182722,64
宜蘭,宜蘭縣,28,,良好,0.6,0.12,0.1,36.6,26,15,8,4.2,5,0.7,2.6,121,2022/05/30 13:00:00,8,18,0,121.746394,24.747917,65
冬山,宜蘭縣,30,,良好,0.4,0.17,0.2,36,22.3,19,7,4.4,6.7,2.3,2,47,2022/05/30 13:00:00,9,21,0,121.792928,24.632203,66
三重,新北市,47,,良好,1.4,0.84,1,20.6,10.7,30,11,28.4,59.2,30.8,-,-,2022/05/30 13:00:00,14,28,1,121.493806,25.072611,67
中壢,桃園市,27,,良好,0.9,0.5,0.6,17.3,13.8,,4,13.6,31.8,18.2,2,83,2022/05/30 13:00:00,8,19,1,121.221667,24.953278,68
竹山,南投縣,18,,良好,1,0.05,0.1,30.6,19.9,12,3,3.7,5.1,1.3,3,203,2022/05/30 13:00:00,5,17,0,120.677306,23.756389,69
永和,新北市,39,,良好,1.1,0.39,0.7,37.5,18.9,27,15,11.4,14.8,3.3,3.3,283,2022/05/30 13:00:00,12,24,0,121.516306,25.017,70
復興,高雄市,18,,良好,0.8,0.16,0.1,24.7,19.3,12,4,3.4,5,1.5,1.2,256,2022/05/30 13:00:00,3,11,1,120.312017,22.608711,71
埔里,南投縣,17,,良好,1.4,0.15,0.1,32.8,18.5,19,5,2.3,3.3,1,3.4,279,2022/05/30 13:00:00,4,16,0,120.967903,23.968842,72
馬祖,連江縣,43,,良好,0.9,0.09,0.1,39.2,20.7,22,14,3.7,5.1,1.4,1.9,202,2022/05/30 13:00:00,13,19,0,120.59128111,26.25799556,75
金門,金門縣,13,,良好,0.4,0.08,0,27.7,14.6,31,5,3.1,4.8,1.6,4,194,2022/05/30 13:00:00,2,11,0,118.312256,24.432133,77
馬公,澎湖縣,19,,良好,0.2,0.12,0.1,25,20.1,13,3,3.1,4.7,1.6,1.5,231,2022/05/30 13:00:00,4,12,0,119.566158,23.569031,78
關山,臺東縣,21,,良好,1,0.11,0.1,26.2,16.1,13,4,1.4,2.5,1,1.2,336,2022/05/30 13:00:00,6,16,0,121.161933,23.045083,80
麥寮,雲林縣,18,,良好,1.2,0.1,0.1,27.1,19.1,5,0,1.8,3.1,1.2,3.4,241,2022/05/30 13:00:00,1,11,1,120.251825,23.753506,83
富貴角,新北市,26,,良好,0.1,0.06,0.1,34.5,28.3,20,4,0.4,0.5,0.1,7,254,2022/05/30 13:00:00,3,16,0,121.54738,25.29228,84
大城,彰化縣,18,,良好,0.5,0.06,0,26.2,19.2,8,0,2.1,1.9,0,5.5,249,2022/05/30 13:00:00,1,13,1,120.26964167,23.85493056,85
高雄(湖內),高雄市,17,,良好,1.7,0.14,0.1,24.5,16.5,7,2,3.3,6.4,3.1,2.3,281,2022/05/30 13:00:00,5,13,0,120.24535,22.87985556,202
臺南(麻豆),臺南市,20,,良好,1.2,0.09,0.1,22.7,14.3,13,4,4.2,6.4,2.2,0.9,262,2022/05/30 13:00:00,6,16,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,20,,良好,0.5,0.04,0,26.1,22.9,5,6,1.5,2.1,0.5,2.7,325,2022/05/30 13:00:00,5,7,0,120.37722,22.35222,204
桃園(三民),桃園市,37,,良好,,0.35,0.5,29,20.3,24,,,,,1.1,259,2022/05/30 13:00:00,11,26,1,121.31820833,25.00121944,310
新北(樹林),新北市,33,,良好,1,0.18,0.2,31.4,19,14,14,6.4,7.7,1.3,1.5,26,2022/05/30 13:00:00,10,18,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,17,,良好,0.5,0.15,0.1,24.2,17.7,7,3,4.4,9.4,5,2.2,274,2022/05/30 13:00:00,5,12,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,18,,良好,0.4,,0.1,25.7,19.7,,1,,,,2.4,277,2022/05/30 13:00:00,2,8,0,120.59036944,22.38474167,313
