SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WIND_SPEED,WIND_DIREC,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,37,,良好,1.5,0.32,0.3,55.5,,28,13,15.4,18.5,3.1,3.2,87,2022/04/20 13:00:00,11,19,1,121.507972,25.046503,13
古亭,臺北市,40,,良好,1.8,0.28,0.3,52.7,38,25,15,15.5,18.3,2.7,2.1,53,2022/04/20 13:00:00,12,21,0,121.529556,25.020608,14
松山,臺北市,43,,良好,1.8,0.24,0.3,48.9,30,32,14,18.8,22.7,3.9,2.2,71,2022/04/20 13:00:00,13,25,1,121.578611,25.05,15
大同,臺北市,53,細懸浮微粒,普通,1.6,0.73,0.6,31.6,26,40,16,31.2,51.6,20.4,-,-,2022/04/20 13:00:00,16,34,1,121.513311,25.0632,16
桃園,桃園市,41,,良好,3.3,0.38,0.3,52.8,44,25,9,12,14.9,2.9,2.8,72,2022/04/20 13:00:00,11,18,3,121.30872222,24.98677778,17
大園,桃園市,36,,良好,2.3,0.28,0.3,51.3,37,23,12,16.7,21.3,4.6,2.3,185,2022/04/20 13:00:00,11,19,1,121.201811,25.060344,18
觀音,桃園市,42,,良好,2.2,0.21,0.2,57.3,43,23,11,9.5,11.5,2,2.1,41,2022/04/20 13:00:00,12,19,2,121.082761,25.035503,19
平鎮,桃園市,41,,良好,1.8,0.39,0.3,54.9,44,28,16,16.4,19,2.6,2.4,92,2022/04/20 13:00:00,12,22,1,121.203986,24.952786,20
龍潭,桃園市,42,,良好,1.2,0.38,0.3,49.8,37,27,14,20.7,24.1,3.3,0.9,61,2022/04/20 13:00:00,12,19,0,121.21635,24.863869,21
湖口,新竹縣,54,細懸浮微粒,普通,1.6,0.34,0.3,54.1,40,30,18,16.4,18.8,2.3,1.5,62,2022/04/20 13:00:00,16,20,1,121.038653,24.900142,22
竹東,新竹縣,32,,良好,0.5,0.42,0.3,28.4,25,14,8,11.3,15.5,4.2,1.7,63,2022/04/20 13:00:00,10,15,0,121.088903,24.740644,23
新竹,新竹市,58,細懸浮微粒,普通,2.3,0.68,0.4,53.1,35,30,23,23.6,26.7,3.1,1.2,149,2022/04/20 13:00:00,18,20,1,120.972075,24.805619,24
頭份,苗栗縣,41,,良好,2.8,0.45,0.3,36.2,29,30,17,19.5,24.8,5.2,1,202,2022/04/20 13:00:00,12,21,1,120.898572,24.696969,25
苗栗,苗栗縣,52,細懸浮微粒,普通,1.8,0.31,0.3,48.7,30,16,14,9.8,12.1,2.3,0.3,351,2022/04/20 13:00:00,16,19,1,120.8202,24.565269,26
三義,苗栗縣,30,,良好,1.1,0.3,0.3,33.3,30,20,12,7.4,10.4,3,0.8,175,2022/04/20 13:00:00,9,14,1,120.758833,24.382942,27
豐原,臺中市,52,細懸浮微粒,普通,,0.34,0.4,41.5,25,33,20,,,,2.5,305,2022/04/20 13:00:00,15,22,1,120.741711,24.256586,28
沙鹿,臺中市,46,,良好,1.8,0.3,0.3,60.3,36,19,16,6.7,8.2,1.4,3.3,349,2022/04/20 13:00:00,14,21,1,120.568794,24.225628,29
大里,臺中市,65,細懸浮微粒,普通,2,0.39,0.4,65.1,29,35,16,14.6,16.9,2.2,2.5,275,2022/04/20 13:00:00,21,39,1,120.67844444,24.09961111,30
忠明,臺中市,52,細懸浮微粒,普通,1,0.39,0.5,54.8,31,24,14,17.2,19.7,2.4,1.9,33,2022/04/20 13:00:00,15,26,0,120.641092,24.151958,31
西屯,臺中市,53,細懸浮微粒,普通,1.4,0.3,0.3,59.1,34,26,15,8.6,9.8,1.2,2.1,344,2022/04/20 13:00:00,16,26,0,120.616917,24.162197,32
彰化,彰化縣,75,細懸浮微粒,普通,6.7,0.65,0.5,38.8,27,43,25,30.3,42.5,12.2,2.3,319,2022/04/20 13:00:00,25,37,1,120.541519,24.066,33
線西,彰化縣,48,,良好,1.7,0.25,0.3,64,45,21,11,4.9,6.3,1.3,4.4,13,2022/04/20 13:00:00,14,21,2,120.469061,24.131672,34
二林,彰化縣,54,細懸浮微粒,普通,1.8,0.25,0.2,,45,24,,1.1,2.6,1.4,2.9,327,2022/04/20 13:00:00,16,27,2,120.409653,23.925175,35
南投,南投縣,75,細懸浮微粒,普通,,0.39,0.3,60,28,42,28,12.3,13.6,1.2,2.1,351,2022/04/20 13:00:00,25,39,1,120.685306,23.913,36
斗六,雲林縣,99,細懸浮微粒,普通,2.2,0.27,0.4,59.5,32,21,16,5.4,6.3,0.8,2.1,308,2022/04/20 13:00:00,34,45,1,120.544994,23.711853,37
崙背,雲林縣,56,細懸浮微粒,普通,1.7,0.24,0.3,62.1,44,22,12,2.3,3,0.6,2.4,317,2022/04/20 13:00:00,17,29,2,120.348742,23.757547,38
新港,嘉義縣,89,細懸浮微粒,普通,2.2,0.3,0.4,56.9,32,23,19,4.8,5.7,0.9,3.3,308,2022/04/20 13:00:00,31,40,2,120.345531,23.554839,39
朴子,嘉義縣,78,細懸浮微粒,普通,2.8,0.28,0.3,62.3,38,22,15,7.5,8.4,0.9,2.7,329,2022/04/20 13:00:00,26,33,2,120.24781111,23.46712222,40
臺西,雲林縣,43,,良好,4.8,0.31,0.3,53.2,45,22,10,12.2,15.6,3.3,4,4,2022/04/20 13:00:00,13,26,1,120.19933333,23.702175,41
嘉義,嘉義市,112,細懸浮微粒,對敏感族群不健康,3.4,0.45,0.5,63.4,32,38,29,8.6,9.1,0.5,2.2,2,2022/04/20 13:00:00,39,46,2,120.44083333,23.462778,42
新營,臺南市,106,細懸浮微粒,對敏感族群不健康,2.7,0.36,0.4,67.2,33,38,28,9.3,10.7,1.4,2.6,350,2022/04/20 13:00:00,37,44,2,120.31725,23.305633,43
善化,臺南市,137,細懸浮微粒,對敏感族群不健康,1.8,0.31,0.4,58.3,33,40,30,10.2,11.7,1.4,3.3,332,2022/04/20 13:00:00,49,56,2,120.297142,23.115097,44
安南,臺南市,106,細懸浮微粒,對敏感族群不健康,,0.36,0.5,,29,42,18,6.2,6.8,0.5,3.4,326,2022/04/20 13:00:00,37,60,1,120.2175,23.048197,45
臺南,臺南市,115,細懸浮微粒,對敏感族群不健康,2.1,0.41,0.5,73.9,41,54,35,9,10.1,1.1,2.3,311,2022/04/20 13:00:00,41,60,1,120.202617,22.984581,46
美濃,高雄市,98,細懸浮微粒,普通,1.4,0.45,0.4,83.6,42,55,33,8.6,9.5,0.8,2.8,288,2022/04/20 13:00:00,34,53,1,120.530542,22.883583,47
橋頭,高雄市,133,細懸浮微粒,對敏感族群不健康,2,0.41,0.5,81.4,38,45,36,9.5,10.3,0.8,3.8,269,2022/04/20 13:00:00,48,61,2,120.305689,22.757506,48
仁武,高雄市,143,細懸浮微粒,對敏感族群不健康,1.6,0.44,0.6,73.8,32,56,44,16.8,18.7,1.9,3.5,284,2022/04/20 13:00:00,51,69,2,120.332631,22.689056,49
鳳山,高雄市,146,細懸浮微粒,對敏感族群不健康,2.8,0.69,0.8,86.8,33,49,45,16.9,18.4,1.4,1.5,276,2022/04/20 13:00:00,53,64,3,120.358083,22.627392,50
大寮,高雄市,132,細懸浮微粒,對敏感族群不健康,5.6,0.56,0.5,85.1,40,72,53,24.3,26.8,2.5,2.8,294,2022/04/20 13:00:00,47,66,3,120.425311,22.56413611,51
林園,高雄市,119,細懸浮微粒,對敏感族群不健康,1,0.39,0.4,90.5,40,60,41,7.5,8.9,1.3,3.5,300,2022/04/20 13:00:00,42,72,2,120.41175,22.4795,52
楠梓,高雄市,133,細懸浮微粒,對敏感族群不健康,3.1,0.43,0.5,84.1,37,54,34,10.7,12,1.3,2.5,270,2022/04/20 13:00:00,47,75,3,120.328289,22.733667,53
左營,高雄市,131,細懸浮微粒,對敏感族群不健康,3.2,0.43,0.6,92,41,57,42,9.4,9.6,0.1,4.4,312,2022/04/20 13:00:00,47,68,3,120.292917,22.674861,54
前金,高雄市,135,細懸浮微粒,對敏感族群不健康,,0.45,0.6,92,41,54,,,,,4,299,2022/04/20 13:00:00,48,65,2,120.28676111,22.63390278,56
前鎮,高雄市,138,細懸浮微粒,對敏感族群不健康,3.3,0.46,0.6,89.8,38,54,52,10,10.5,0.5,2.1,21,2022/04/20 13:00:00,49,68,2,120.307564,22.605386,57
小港,高雄市,130,細懸浮微粒,對敏感族群不健康,2.7,0.42,0.5,86.5,31,61,47,16.6,18.9,2.2,4.5,272,2022/04/20 13:00:00,46,64,3,120.337736,22.565833,58
屏東,屏東縣,137,細懸浮微粒,對敏感族群不健康,3.4,0.55,0.5,107.3,53,83,62,16.7,17,0.3,3.3,285,2022/04/20 13:00:00,49,71,2,120.488033,22.673081,59
潮州,屏東縣,109,細懸浮微粒,對敏感族群不健康,2.7,0.47,0.4,96.9,45,59,39,8.4,9.1,0.7,3.8,267,2022/04/20 13:00:00,38,56,1,120.561175,22.523108,60
恆春,屏東縣,87,臭氧八小時,普通,1.1,0.18,0.2,63.9,66,4,3,0.6,1.8,1.2,9.9,31,2022/04/20 13:00:00,8,11,0,120.788928,21.958069,61
臺東,臺東縣,50,,良好,1.1,0.27,0.2,58.8,54,13,7,5.5,6.7,1.2,1.7,16,2022/04/20 13:00:00,11,18,1,121.15045,22.755358,62
花蓮,花蓮縣,61,細懸浮微粒,普通,,,0.3,,45,,,,,,1.9,100,2022/04/20 13:00:00,19,33,0,121.599769,23.971306,63
陽明,臺北市,50,,良好,1.1,0.21,0.2,47.5,54,11,9,0.9,1.4,0.4,,,2022/04/20 13:00:00,7,8,0,121.529583,25.182722,64
宜蘭,宜蘭縣,47,,良好,2.4,0.22,0.2,66,51,22,10,3.9,5.1,1.2,2.1,143,2022/04/20 13:00:00,11,20,1,121.746394,24.747917,65
冬山,宜蘭縣,47,,良好,0.8,0.22,0.2,56.8,47,32,14,6.5,8.3,1.8,2.7,151,2022/04/20 13:00:00,14,28,0,121.792928,24.632203,66
三重,新北市,54,二氧化氮,普通,1.7,0.95,1,26.5,18,31,11,35.7,74.6,38.9,-,-,2022/04/20 13:00:00,12,29,1,121.493806,25.072611,67
中壢,桃園市,57,二氧化氮,普通,2.1,1.18,1.1,22,17,42,14,40.7,75,34.2,0.9,230,2022/04/20 13:00:00,14,28,1,121.221667,24.953278,68
竹山,南投縣,84,細懸浮微粒,普通,1.7,0.26,0.3,63.7,26,42,26,7.5,8.2,0.7,2.8,283,2022/04/20 13:00:00,28,41,1,120.677306,23.756389,69
永和,新北市,49,,良好,1.2,0.4,0.5,,32,33,21,22,26.1,4.1,2.2,85,2022/04/20 13:00:00,15,23,0,121.516306,25.017,70
復興,高雄市,138,細懸浮微粒,對敏感族群不健康,2.3,0.54,0.8,87.8,37,57,48,11.2,12.3,1.1,1.1,247,2022/04/20 13:00:00,49,69,2,120.312017,22.608711,71
埔里,南投縣,29,,良好,0.7,0.23,0.2,39.2,21,13,7,2.6,4.4,1.7,1.4,268,2022/04/20 13:00:00,8,12,0,120.967903,23.968842,72
馬祖,連江縣,144,細懸浮微粒,對敏感族群不健康,1.4,0.39,0.5,91.6,74,57,42,8.3,8.9,0.5,1,33,2022/04/20 13:00:00,52,68,2,120.59128111,26.25799556,75
金門,金門縣,140,細懸浮微粒,對敏感族群不健康,3.1,0.35,0.4,83.3,57,,38,10.2,11.4,1.2,2.2,33,2022/04/20 13:00:00,50,78,4,118.312256,24.432133,77
馬公,澎湖縣,71,臭氧八小時,普通,,0.23,0.2,,61,19,,,,,3.1,18,2022/04/20 13:00:00,15,23,0,119.566158,23.569031,78
關山,臺東縣,58,臭氧八小時,普通,0.9,-,-,55.7,57,14,9,3.8,4.5,0.6,1.3,61,2022/04/20 13:00:00,14,19,1,121.161933,23.045083,80
麥寮,雲林縣,44,,良好,1.6,0.35,0.3,66,48,22,6,4.1,4.9,0.8,3.3,334,2022/04/20 13:00:00,12,21,1,120.251825,23.753506,83
富貴角,新北市,87,臭氧八小時,普通,0.2,0.15,0.1,74.2,66,25,12,1.3,1.4,0,8.7,96,2022/04/20 13:00:00,8,18,0,121.54738,25.29228,84
大城,彰化縣,49,,良好,0.9,0.22,0.2,66.8,52,21,16,4.1,4.2,0.1,5.8,44,2022/04/20 13:00:00,15,23,1,120.26964167,23.85493056,85
高雄(湖內),高雄市,108,細懸浮微粒,對敏感族群不健康,1.9,0.41,0.4,74.3,36,42,30,8.6,9.8,1.2,2.6,280,2022/04/20 13:00:00,38,55,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,103,細懸浮微粒,對敏感族群不健康,2.1,0.28,0.4,57.9,33,40,19,9.8,12.6,2.8,3.1,9,2022/04/20 13:00:00,36,60,2,120.24583056,23.17904722,203
屏東(琉球),屏東縣,81,細懸浮微粒,普通,1.6,0.28,0.3,78.3,47,29,24,6.1,7.1,0.9,3.6,324,2022/04/20 13:00:00,27,36,1,120.37722,22.35222,204
桃園(三民),桃園市,42,,良好,2.9,0.35,0.4,25.1,21,30,12,12.5,16.7,4.1,1.7,95,2022/04/20 13:00:00,12,24,1,121.31820833,25.00121944,310
新北(樹林),新北市,44,,良好,1.1,0.39,0.6,34.7,23,26,14,21.3,29.1,7.7,0.2,164,2022/04/20 13:00:00,13,23,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,66,細懸浮微粒,普通,0.9,0.28,0.4,41.2,26,26,10,7.8,13.8,5.9,3.2,329,2022/04/20 13:00:00,21,43,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,76,細懸浮微粒,普通,1.1,0.37,0.3,61.5,34,37,24,6,6.4,0.4,2.1,276,2022/04/20 13:00:00,25,42,1,120.59036944,22.38474167,313
