路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,五甲交流道-高雄端,非匝道資料,非匝道資料,37706,36512,41959
國3南向路段,基金-瑪東系統,非匝道資料,非匝道資料,20109,21380,20789
國3南向路段,瑪東系統-汐止系統,非匝道資料,非匝道資料,18629,23171,19399
國3南向路段,汐止系統-新台五路,非匝道資料,非匝道資料,43588,42530,41592
國3南向路段,新台五路-南港,非匝道資料,非匝道資料,49375,47774,46416
國3南向路段,南港-南港系統,非匝道資料,非匝道資料,61583,57797,61178
國3南向路段,南港系統-木柵,非匝道資料,非匝道資料,55998,57678,56750
國3南向路段,木柵-新店,非匝道資料,非匝道資料,53261,54456,52271
國3南向路段,新店-安坑,非匝道資料,非匝道資料,53802,54007,52198
國3南向路段,安坑-中和,非匝道資料,非匝道資料,75009,72304,71267
國3南向路段,中和-土城,非匝道資料,非匝道資料,88830,83810,81745
國3南向路段,土城-樹林,非匝道資料,非匝道資料,110998,104958,98412
國3南向路段,樹林-三鶯,非匝道資料,非匝道資料,96106,91820,82777
國3南向路段,三鶯-鶯歌系統,非匝道資料,非匝道資料,100043,95177,86732
國3南向路段,鶯歌系統-大溪,非匝道資料,非匝道資料,84639,78227,67299
國3南向路段,大溪-龍潭,非匝道資料,非匝道資料,70202,62008,48851
國3南向路段,龍潭-關西服務區,非匝道資料,非匝道資料,60969,52084,37728
國3南向路段,關西服務區-關西,非匝道資料,非匝道資料,60826,51947,37453
國3南向路段,關西-竹林,非匝道資料,非匝道資料,59372,50847,38122
國3南向路段,竹林-寶山,非匝道資料,非匝道資料,51033,42252,33560
國3南向路段,寶山-新竹系統,非匝道資料,非匝道資料,52428,42511,35661
國3南向路段,新竹系統-茄苳,非匝道資料,非匝道資料,63234,50420,50427
國3南向路段,茄苳-香山,非匝道資料,非匝道資料,60013,46031,44751
國3南向路段,香山-西濱,非匝道資料,非匝道資料,56099,42259,36366
國3南向路段,西濱-竹南,非匝道資料,非匝道資料,48675,35903,29193
國3南向路段,竹南-大山,非匝道資料,非匝道資料,48367,35692,28163
國3南向路段,大山-後龍,非匝道資料,非匝道資料,46650,34379,26620
國3南向路段,後龍-西湖服務區,非匝道資料,非匝道資料,45508,34280,25876
國3南向路段,西湖服務區-通霄,非匝道資料,非匝道資料,45807,34480,26185
國3南向路段,通霄-苑裡,非匝道資料,非匝道資料,45197,35264,25429
國3南向路段,苑裡-大甲,非匝道資料,非匝道資料,49655,40160,31389
國3南向路段,大甲-中港系統,非匝道資料,非匝道資料,56677,47095,38406
國3南向路段,中港系統-清水服務區,非匝道資料,非匝道資料,47880,39305,31899
國3南向路段,清水服務區-沙鹿,非匝道資料,非匝道資料,47891,39397,31891
國3南向路段,沙鹿-龍井,非匝道資料,非匝道資料,48423,39759,32604
國3南向路段,龍井-和美,非匝道資料,非匝道資料,50613,41223,34827
國3南向路段,和美-彰化系統,非匝道資料,非匝道資料,56738,47731,43136
國3南向路段,彰化系統-快官,非匝道資料,非匝道資料,44569,37900,36046
國3南向路段,快官-烏日,非匝道資料,非匝道資料,55227,47471,46691
國3南向路段,烏日-中投,非匝道資料,非匝道資料,56613,48644,46180
國3南向路段,中投-霧峰,非匝道資料,非匝道資料,59636,51451,46646
國3南向路段,霧峰-霧峰系統,非匝道資料,非匝道資料,82251,72073,59267
國3南向路段,霧峰系統-草屯,非匝道資料,非匝道資料,67699,61944,50324
國3南向路段,草屯-中興系統,非匝道資料,非匝道資料,64530,58292,46594
國3南向路段,中興系統-中興,非匝道資料,非匝道資料,56703,50743,40284
國3南向路段,中興-南投,非匝道資料,非匝道資料,53061,47662,34986
國3南向路段,南投-南投服務區,非匝道資料,非匝道資料,45483,40997,27154
國3南向路段,南投服務區-名間,非匝道資料,非匝道資料,43765,39363,26026
國3南向路段,名間-竹山,非匝道資料,非匝道資料,36461,32995,21070
國3南向路段,竹山-南雲,非匝道資料,非匝道資料,30253,28673,17040
國3南向路段,南雲-斗六,非匝道資料,非匝道資料,30090,29127,16965
國3南向路段,斗六-古坑系統,非匝道資料,非匝道資料,28784,28533,16599
國3南向路段,古坑系統-古坑,非匝道資料,非匝道資料,25467,25322,13776
國3南向路段,古坑-古坑服務區,非匝道資料,非匝道資料,26532,26613,14605
國3南向路段,古坑服務區-梅山,非匝道資料,非匝道資料,26535,26611,14704
國3南向路段,梅山-竹崎(北),非匝道資料,非匝道資料,28939,29271,16964
國3南向路段,竹崎(北)-竹崎(南),非匝道資料,非匝道資料,21513,22378,11414
國3南向路段,竹崎(南)-中埔,非匝道資料,非匝道資料,27308,28282,16770
國3南向路段,中埔-水上系統,非匝道資料,非匝道資料,27827,30427,16829
國3南向路段,水上系統-白河,非匝道資料,非匝道資料,23517,26496,12826
國3南向路段,白河-東山服務區,非匝道資料,非匝道資料,23746,27649,13025
國4南向路段,東山服務區-柳營,非匝道資料,非匝道資料,24191,28396,13335
國3南向路段,柳營-烏山頭,非匝道資料,非匝道資料,25751,29962,15099
國3南向路段,烏山頭-官田系統,非匝道資料,非匝道資料,28003,32174,17051
國3南向路段,官田系統-善化,非匝道資料,非匝道資料,30617,35623,19674
國3南向路段,善化-新化系統,非匝道資料,非匝道資料,31081,34895,19759
國3南向路段,新化系統-關廟,非匝道資料,非匝道資料,29539,29951,20020
國3南向路段,關廟-關廟服務區,非匝道資料,非匝道資料,28813,27859,16508
國3南向路段,關廟服務區-田寮,非匝道資料,非匝道資料,28662,27823,16375
國3南向路段,田寮-燕巢系統,非匝道資料,非匝道資料,28967,26878,16615
國3南向路段,燕巢系統-九如,非匝道資料,非匝道資料,28561,25239,20634
國3南向路段,九如-屏東,非匝道資料,非匝道資料,21893,19004,15259
國3南向路段,屏東-長治,非匝道資料,非匝道資料,17974,15379,11838
國3南向路段,長治-麟洛,非匝道資料,非匝道資料,17468,14796,12132
國3南向路段,麟洛-竹田系統,非匝道資料,非匝道資料,20712,17826,15272
國3南向路段,竹田系統-崁頂,非匝道資料,非匝道資料,27122,23467,18011
國3南向路段,崁頂-南州,非匝道資料,非匝道資料,23277,20152,14684
國3南向路段,南州-大鵬灣端,非匝道資料,非匝道資料,7553,6737,4514
國5南向路段,南港系統-石碇,非匝道資料,非匝道資料,36254,31186,24278
國5南向路段,石碇-坪林,非匝道資料,非匝道資料,39489,31499,25368
國5南向路段,坪林-頭城,非匝道資料,非匝道資料,38273,28892,24170
國5南向路段,頭城-宜蘭,非匝道資料,非匝道資料,31508,22533,21279
國5南向路段,宜蘭-羅東,非匝道資料,非匝道資料,24957,18834,18013
國5南向路段,羅東-蘇澳,非匝道資料,非匝道資料,11162,9144,8967
國1高架南向路段,汐止端-堤頂,非匝道資料,非匝道資料,32790,33685,30075
國1高架南向路段,堤頂-環北,非匝道資料,非匝道資料,45056,43024,45665
國1高架南向路段,環北-五股,非匝道資料,非匝道資料,69873,66170,69268
國1高架南向路段,五股-泰山轉接道,非匝道資料,非匝道資料,23455,22614,20013
國1高架南向路段,泰山轉接道-機場系統,非匝道資料,非匝道資料,63161,59652,53424
國1高架南向路段,機場系統-中壢轉接道,非匝道資料,非匝道資料,48153,44088,38493
國1高架南向路段,中壢轉接道-楊梅端,非匝道資料,非匝道資料,44400,39353,36021
國3甲東向路段,台北端-萬芳,非匝道資料,非匝道資料,24647,21181,23709
國3甲東向路段,萬芳-深坑端,非匝道資料,非匝道資料,34505,30170,33672
國2東向路段,機場端-大園交流道,非匝道資料,非匝道資料,45146,46679,46503
國2東向路段,大園交流道-大竹交流道,非匝道資料,非匝道資料,57587,56003,61904
國2東向路段,大竹交流道-機場系統,非匝道資料,非匝道資料,77539,74961,84457
國2東向路段,機場系統-南桃園交流道,非匝道資料,非匝道資料,76008,71688,80576
國2東向路段,南桃園交流道-大湳交流道,非匝道資料,非匝道資料,58058,53481,61470
國2東向路段,大湳交流道-鶯歌系統,非匝道資料,非匝道資料,61579,55259,63601
國4東向路段,清水端-中港系統,非匝道資料,非匝道資料,15582,15210,15049
國4東向路段,中港系統-神岡交流道,非匝道資料,非匝道資料,25905,24810,24040
國4東向路段,神岡交流道-台中系統,非匝道資料,非匝道資料,28950,27500,27607
國4東向路段,台中系統-后豐交流道,非匝道資料,非匝道資料,25840,24010,22448
國4東向路段,后豐交流道-豐原端,非匝道資料,非匝道資料,14462,13146,11796
國6東向路段,霧峰系統-舊正,非匝道資料,非匝道資料,26328,22009,16138
國6東向路段,舊正-東草屯,非匝道資料,非匝道資料,27378,22540,15432
國6東向路段,東草屯交流道-國姓交流道,非匝道資料,非匝道資料,24852,20586,13114
國6東向路段,國姓交流道-北山交流道,非匝道資料,非匝道資料,22010,18217,11890
國6東向路段,北山交流道-愛蘭交流道,非匝道資料,非匝道資料,20706,17844,11699
國6東向路段,愛蘭交流道-埔里交流道,非匝道資料,非匝道資料,9774,8283,5651
國6東向路段,埔里交流道-埔里端,非匝道資料,非匝道資料,4586,3540,2488
國8東向路段,台南端-新吉交流道,非匝道資料,非匝道資料,11654,11469,11477
國8東向路段,新吉交流道-台南系統,非匝道資料,非匝道資料,24412,23445,24016
國8東向路段,台南系統-新市交流道,非匝道資料,非匝道資料,26433,26094,24812
國8東向路段,新市交流道-新化系統,非匝道資料,非匝道資料,20670,20347,15329
國8東向路段,新化系統-新化端,非匝道資料,非匝道資料,7497,8435,5927
國10東向路段,左營端-鼎金系統,非匝道資料,非匝道資料,29087,26321,28448
國10東向路段,鼎金系統-仁武交流道,非匝道資料,非匝道資料,44106,41635,40624
國10東向路段,仁武交流道-燕巢交流道,非匝道資料,非匝道資料,38790,36504,32733
國10東向路段,燕巢交流道-燕巢系統,非匝道資料,非匝道資料,41702,39384,31921
國10東向路段,燕巢系統-嶺口交流道,非匝道資料,非匝道資料,26110,25510,19397
國10東向路段,嶺口交流道-里港交流道,非匝道資料,非匝道資料,21583,20297,14184
國10東向路段,里港交流道-旗山端,非匝道資料,非匝道資料,16234,16634,9981
國1北向路段,高雄端-三國通道,非匝道資料,非匝道資料,36026,29821,36452
國1北向路段,三國通道-五甲,非匝道資料,非匝道資料,37256,34058,41250
國1北向路段,五甲交流道-五甲系統,非匝道資料,非匝道資料,30115,27222,34263
國1北向路段,五甲系統-高雄交流道,非匝道資料,非匝道資料,80026,76186,81043
國1北向路段,高雄交流道-鼎金系統,非匝道資料,非匝道資料,113299,110406,110847
國1北向路段,鼎金系統-楠梓交流道(鳳楠路),非匝道資料,非匝道資料,82755,81813,82681
國1北向路段,楠梓(鳳楠路)-楠梓(旗楠路),非匝道資料,非匝道資料,61619,63118,58816
國1北向路段,楠梓交流道(旗楠路)-岡山交流道,非匝道資料,非匝道資料,78060,78970,76672
國1北向路段,岡山交流道-高科交流道,非匝道資料,非匝道資料,68621,70473,65273
國1北向路段,高科交流道-路竹交流道,非匝道資料,非匝道資料,69078,70754,65638
國1北向路段,路竹交流道-仁德系統,非匝道資料,非匝道資料,68808,70975,64230
國1北向路段,仁德系統-台南交流道,非匝道資料,非匝道資料,66565,69783,63337
國1北向路段,台南交流道-大灣,非匝道資料,非匝道資料,55796,57638,54080
國1北向路段,大灣-永康交流道,非匝道資料,非匝道資料,70425,71620,67477
國1北向路段,永康交流道-台南系統,非匝道資料,非匝道資料,72948,74701,65868
國1北向路段,台南系統-安定交流道,非匝道資料,非匝道資料,59948,62053,51218
國1北向路段,安定交流道-麻豆交流道,非匝道資料,非匝道資料,59198,61007,49343
國1北向路段,麻豆-下營系統,非匝道資料,非匝道資料,55402,58297,45070
國1北向路段,下營系統-新營,非匝道資料,非匝道資料,50972,53333,41662
國1北向路段,新營交流道-新營服務區,非匝道資料,非匝道資料,43971,48072,34475
國1北向路段,新營服務區-嘉義系統,非匝道資料,非匝道資料,44389,48465,34737
國1北向路段,嘉義系統-水上交流道,非匝道資料,非匝道資料,44166,48282,35613
國1北向路段,水上交流道-嘉義交流道,非匝道資料,非匝道資料,45078,49330,36749
國1北向路段,嘉義-民雄,非匝道資料,非匝道資料,47319,52469,39227
國1北向路段,民雄-大林,非匝道資料,非匝道資料,48931,54540,40320
國1北向路段,大林交流道-雲林系統,非匝道資料,非匝道資料,48844,55145,39363
國1北向路段,雲林系統-斗南,非匝道資料,非匝道資料,51787,58558,41623
國1北向路段,斗南-虎尾,非匝道資料,非匝道資料,51799,59500,40379
國1北向路段,虎尾-西螺,非匝道資料,非匝道資料,52536,60232,41258
國1北向路段,西螺交流道-北斗交流道,非匝道資料,非匝道資料,52895,60330,41202
國1北向路段,北斗交流道-員林交流道,非匝道資料,非匝道資料,59338,64832,47886
國1北向路段,員林交流道-埔鹽系統,非匝道資料,非匝道資料,67498,71800,55287
國1北向路段,埔鹽系統-彰化交流道,非匝道資料,非匝道資料,71640,77587,60085
國1北向路段,彰化交流道-彰化系統,非匝道資料,非匝道資料,80603,87442,69490
國1北向路段,彰化系統-王田交流道,非匝道資料,非匝道資料,58999,62709,51221
國1北向路段,王田交流道-南屯交流道,非匝道資料,非匝道資料,60012,62714,53816
國1北向路段,南屯交流道-台中交流道,非匝道資料,非匝道資料,59723,61695,54009
國1北向路段,台中交流道-大雅交流道,非匝道資料,非匝道資料,68847,69573,63307
國1北向路段,大雅交流道-豐原交流道,非匝道資料,非匝道資料,86872,88106,75228
國1北向路段,豐原交流道-台中系統,非匝道資料,非匝道資料,85944,89683,71561
國1北向路段,台中系統-后里交流道,非匝道資料,非匝道資料,61915,68640,47116
國1北向路段,后里交流道-三義交流道,非匝道資料,非匝道資料,53696,61520,37938
國1北向路段,三義-銅鑼,非匝道資料,非匝道資料,53866,62355,39124
國1北向路段,銅鑼-苗栗,非匝道資料,非匝道資料,52222,61259,37727
國1北向路段,苗栗交流道-頭屋交流道,非匝道資料,非匝道資料,49965,60227,35725
國1北向路段,頭屋-頭份交流道,非匝道資料,非匝道資料,54591,65738,39753
國1北向路段,頭份交流道-新竹系統,非匝道資料,非匝道資料,62948,74722,49694
國1北向路段,新竹系統-新竹(園區二路),非匝道資料,非匝道資料,73808,85401,71075
國1北向路段,新竹(園區二路)-新竹(公道五路),非匝道資料,非匝道資料,50828,59728,43719
國1北向路段,新竹交流道(公道五路)-竹北交流道,非匝道資料,非匝道資料,81568,87096,82730
國1北向路段,竹北交流道-湖口交流道,非匝道資料,非匝道資料,80966,85129,76548
國1北向路段,湖口交流道-楊梅端,非匝道資料,非匝道資料,75644,80269,68832
國1北向路段,楊梅端-楊梅交流道,非匝道資料,非匝道資料,40991,42550,39475
國1北向路段,楊梅交流道-幼獅交流道,非匝道資料,非匝道資料,58985,58134,58684
國1北向路段,幼獅交流道-平鎮系統,非匝道資料,非匝道資料,63390,61670,64588
國1北向路段,平鎮系統-中壢交流道,非匝道資料,非匝道資料,74236,72096,75540
國1北向路段,中壢交流道-內壢交流道,非匝道資料,非匝道資料,73476,71808,77977
國1北向路段,內壢交流道-中壢服務區,非匝道資料,非匝道資料,83536,80378,87857
國1北向路段,中壢服務區-機場系統,非匝道資料,非匝道資料,82419,79322,87045
國1北向路段,機場系統-桃園交流道,非匝道資料,非匝道資料,96561,93382,101661
國1北向路段,桃園交流道-林口交流道(文化北路),非匝道資料,非匝道資料,97661,92998,101976
國1北向路段,林口交流道(文化北路)-林口交流道(文化一路),非匝道資料,非匝道資料,62851,60092,58556
國1北向路段,林口交流道(文化一路)-高公局,非匝道資料,非匝道資料,105862,97772,107535
國1北向路段,高公局-五股交流道,非匝道資料,非匝道資料,140621,133046,139380
國1北向路段,五股交流道-三重交流道,非匝道資料,非匝道資料,86202,80082,82879
國1北向路段,三重交流道-台北交流道,非匝道資料,非匝道資料,96260,87288,94348
國1北向路段,台北交流道-圓山交流道,非匝道資料,非匝道資料,104468,95908,100669
國1北向路段,圓山交流道-內湖交流道,非匝道資料,非匝道資料,56125,51159,57047
國1北向路段,內湖交流道-東湖交流道,非匝道資料,非匝道資料,70264,63783,67745
國1北向路段,東湖交流道-汐五汐止端,非匝道資料,非匝道資料,54573,49354,51193
國1北向路段,汐止及系統-五堵交流道,非匝道資料,非匝道資料,71216,65908,59360
國1北向路段,五堵-大華系統,非匝道資料,非匝道資料,68626,63832,56740
國1北向路段,大華系統-八堵,非匝道資料,非匝道資料,38911,34969,34047
國1北向路段,八堵交流道-基隆交流道,非匝道資料,非匝道資料,30795,27704,27119
國1北向路段,基隆交流道-基隆端,非匝道資料,非匝道資料,32489,28479,28961
國3北向路段,大鵬灣端-林邊交流道,非匝道資料,非匝道資料,1239,1603,794
國3北向路段,林邊交流道-南州交流道,非匝道資料,非匝道資料,6071,7744,4452
國3北向路段,南州交流道-崁頂交流道,非匝道資料,非匝道資料,17992,23657,14280
國3北向路段,崁頂交流道-竹田系統,非匝道資料,非匝道資料,21860,27764,18044
國3北向路段,竹田系統-麟洛交流道,非匝道資料,非匝道資料,17809,20795,15360
國3北向路段,麟洛交流道-長治交流道,非匝道資料,非匝道資料,14651,18395,12561
國3北向路段,長治交流道-屏東交流道,非匝道資料,非匝道資料,15090,19716,12522
國3北向路段,屏東交流道-九如交流道,非匝道資料,非匝道資料,18663,23308,15827
國3北向路段,九如交流道-燕巢系統,非匝道資料,非匝道資料,24248,29840,20757
國3北向路段,燕巢系統-田寮交流道,非匝道資料,非匝道資料,25253,30634,16165
國3北向路段,田寮交流道-關廟服務區,非匝道資料,非匝道資料,24999,30893,15756
國3北向路段,關廟服務區-關廟交流道,非匝道資料,非匝道資料,24999,31078,15791
國3北向路段,關廟交流道-新化系統,非匝道資料,非匝道資料,27096,31627,19295
國3北向路段,新化系統-善化交流道,非匝道資料,非匝道資料,30356,34714,18993
國3北向路段,善化交流道-官田系統,非匝道資料,非匝道資料,30475,34710,18790
國3北向路段,官田系統-烏山頭交流道,非匝道資料,非匝道資料,27802,32539,16524
國3北向路段,烏山頭交流道-柳營交流道,非匝道資料,非匝道資料,25506,30400,14508
國3北向路段,柳營交流道-東山服務區,非匝道資料,非匝道資料,23913,29089,12800
國3北向路段,東山服務區-白河交流道,非匝道資料,非匝道資料,23236,28361,12416
國3北向路段,白河交流道-水上系統,非匝道資料,非匝道資料,22436,27617,12239
國3北向路段,水上系統-中埔交流道,非匝道資料,非匝道資料,26401,31632,15951
國3北向路段,中埔交流道-竹崎交流道,非匝道資料,非匝道資料,24673,30701,15939
國3北向路段,竹崎交流道(南)-竹崎交流道(北),非匝道資料,非匝道資料,18909,25096,10750
國3北向路段,竹崎交流道(北)-梅山交流道,非匝道資料,非匝道資料,25631,32768,16161
國3北向路段,梅山交流道-古坑服務區,非匝道資料,非匝道資料,23017,30634,13864
國3北向路段,古坑服務區-古坑交流道,非匝道資料,非匝道資料,23041,30643,13873
國3北向路段,古坑交流道-古坑系統,非匝道資料,非匝道資料,21692,29242,12994
國3北向路段,古坑系統-斗六交流道,非匝道資料,非匝道資料,24578,34120,15571
國3北向路段,斗六交流道-南雲交流道,非匝道資料,非匝道資料,25643,35393,16113
國3北向路段,南雲交流道-竹山交流道,非匝道資料,非匝道資料,25581,35635,16656
國3北向路段,竹山交流道-名間交流道,非匝道資料,非匝道資料,29403,41693,20422
國3北向路段,名間交流道-南投服務區,非匝道資料,非匝道資料,35906,48702,25441
國3北向路段,南投服務區-南投交流道,非匝道資料,非匝道資料,37411,50620,26637
國3北向路段,南投交流道-中興交流道,非匝道資料,非匝道資料,44763,57157,34459
國3北向路段,中興交流道-中興系統,非匝道資料,非匝道資料,49361,61161,41100
國3北向路段,中興系統-草屯交流道,非匝道資料,非匝道資料,56758,69654,47273
國3北向路段,草屯交流道-霧峰系統,非匝道資料,非匝道資料,60202,71654,50748
國3北向路段,霧峰系統-霧峰交流道,非匝道資料,非匝道資料,71213,84145,60068
國3北向路段,霧峰交流道-中投交流道,非匝道資料,非匝道資料,55144,63380,50267
國3北向路段,中投交流道-烏日交流道,非匝道資料,非匝道資料,50434,58766,47239
國3北向路段,烏日交流道-快官交流道,非匝道資料,非匝道資料,49649,57336,47448
國3北向路段,快官交流道-彰化系統,非匝道資料,非匝道資料,40564,47788,37850
國3北向路段,彰化系統-和美交流道,非匝道資料,非匝道資料,45893,58255,40977
國3北向路段,和美交流道-龍井交流道,非匝道資料,非匝道資料,38868,52916,32309
國3北向路段,龍井交流道-沙鹿交流道,非匝道資料,非匝道資料,38190,51873,31154
國3北向路段,沙鹿交流道-清水服務區,非匝道資料,非匝道資料,37046,50946,29450
國3北向路段,清水服務區-中港系統,非匝道資料,非匝道資料,37148,51029,29846
國3北向路段,中港系統-大甲交流道,非匝道資料,非匝道資料,45434,60194,36064
國3北向路段,大甲交流道-苑裡交流道,非匝道資料,非匝道資料,37658,53011,28510
國3北向路段,苑裡交流道-通霄交流道,非匝道資料,非匝道資料,32698,49496,22959
國3北向路段,通霄交流道-西湖服務區,非匝道資料,非匝道資料,32222,49130,23326
國3北向路段,西湖服務區-後龍交流道,非匝道資料,非匝道資料,32044,48911,23215
國3北向路段,後龍交流道-大山交流道,非匝道資料,非匝道資料,32556,49199,23606
國3北向路段,大山交流道-竹南交流道,非匝道資料,非匝道資料,34290,50606,25511
國3北向路段,竹南交流道-西濱交流道,非匝道資料,非匝道資料,34774,49926,27111
國3北向路段,西濱交流道-香山交流道,非匝道資料,非匝道資料,41501,57186,34000
國3北向路段,香山交流道-茄苳交流道,非匝道資料,非匝道資料,46121,60658,42547
國3北向路段,茄苳交流道-新竹系統,非匝道資料,非匝道資料,50449,63425,47860
國3北向路段,新竹系統-寶山交流道,非匝道資料,非匝道資料,43377,56260,33260
國3北向路段,寶山交流道-竹林交流道,非匝道資料,非匝道資料,42821,55082,31802
國3北向路段,竹林交流道-關西交流道,非匝道資料,非匝道資料,50878,63144,36509
國3北向路段,關西交流道-關西服務區,非匝道資料,非匝道資料,51464,64775,36169
國3北向路段,關西服務區-龍潭交流道,非匝道資料,非匝道資料,51368,64808,36228
